"Bill of Material for "
"On 19.08.2015 at 14:11:18"

"Comment","Pattern","Quantity","Components"

"100n","CAPC1608X90N","9","C1, C2, C3, C4, C5, C6, C7, C8, C9","Capacitor SMD Cer 100nF 10% 50V X7R 0603"
"10k","RESC1608X55N","5","R7, R8, R9, R12, R13","Resistor SMD chip 120 Ohm 0.1W 5% 0603"
"120R","RESC1608X55N","2","R1, R2","Resistor SMD chip 120 Ohm 0.1W 5% 0603"
"1k","RESC1608X55N","6","R14, R15, R16, R17, R18, R19","Resistor SMD chip 120 Ohm 0.1W 5% 0603"
"2.2k","RESC1608X55N","2","R10, R11","Resistor SMD chip 120 Ohm 0.1W 5% 0603"
"750R","RESC1608X55N","4","R3, R4, R5, R6","Resistor SMD chip 120 Ohm 0.1W 5% 0603"
"ETHERNET","MICRO-MATCH-4","1","J2",""
"HEADER-20","MICRO-MATCH-20","2","J5, J6",""
"PCI-EXPRESS-X4","PCI-EXPRESS-X4-CARD-EDGE","1","J4",""
"RGB-LED-CC-2","RGB-LED-5mm","2","LED1, LED2",""
"RS485","MICRO-MATCH-6","1","J1",""
"SI8602","SOIC8","1","U4",""
"SI8641","SOIC16","1","U3",""
"SN75179B","SOIC-8","1","U2",""
"SW-PB-OPEN","MC8US9R2A2M7RES","2","S1, S2",""
